"Chinese","Pinyin","Definition"
"老","lǎo","prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity  / old (of people)  / venerable (person)  / experienced  / of long standing  / always  / all the time  / of the past  / very  / outdated  / (of meat etc) tough "
"师","Shī<br />shī","surname Shi <br />teacher  / master  / expert  / model  / army division  / (old) troops  / to dispatch troops "
"医","yī","medical  / medicine  / doctor  / to cure  / to treat "
"的","de<br />dī<br />dí<br />dì","of  / ~'s (possessive particle)  / (used after an attribute)  / (used to form a nominal expression)  / (used at the end of a declarative sentence for emphasis) <br />see 的士 <br />really and truly <br />aim  / clear "
"电话","",""
"电","diàn","electric  / electricity  / electrical "
"话","huà<br />huà","dialect  / language  / spoken words  / speech  / talk  / words  / conversation  / what sb said  / CL: 種｜种, 席, 句, 口, 番<br />old variant of 話｜话 "
"号码","",""
"多少","",""
"多","duō","many  / much  / often  / a lot of  / numerous  / more  / in excess  / how (to what extent)  / multi-  / Taiwan pr. [duo2] when it means ""how"" "
"少","shǎo<br />shào","few  / less  / to lack  / to be missing  / to stop (doing sth)  / seldom <br />young "
"号","háo<br />hào","roar  / cry  / CL: 個｜个<br />ordinal number  / day of a month  / mark  / sign  / business establishment  / size  / ship suffix  / horn (wind instrument)  / bugle call  / assumed name  / to take a pulse  / classifier used to indicate number of people "
"码","mǎ","weight  / number  / code  / to pile  / to stack  / classifier for length or distance (yard), happenings etc "
"中国","",""
"人","rén","man  / person  / people  / CL: 個｜个, 位"
"中","Zhōng<br />zhōng<br />zhòng","China  / Chinese  / surname Zhong <br />within  / among  / in  / middle  / center  / while (doing sth)  / during  / (dialect) OK  / all right <br />to hit (the mark)  / to be hit by  / to suffer  / to win (a prize, a lottery) "
"国","Guó<br />guó","surname Guo <br />country  / nation  / state  / national  / CL: 個｜个"
"哪","nǎ<br />na<br />něi","how  / which <br />(particle equivalent to 啊 after noun ending in -n) <br />which? (interrogative, followed by classifier or numeral-classifier) "
"英国","",""
"美国","",""
"英","Yīng<br />yīng","United Kingdom  / British  / England  / English  / abbr. for 英國｜英国 <br />hero  / outstanding  / excellent  / (literary) flower  / blossom "
"美","Měi<br />měi","the Americas  / abbr. for 美洲 / USA  / abbr. for 美國｜美国 <br />beautiful  / very satisfactory  / good  / to beautify  / to be pleased with oneself "
"都","Dū<br />dōu<br />dū","surname Du <br />all  / both  / entirely  / (used for emphasis) even  / already  / (not) at all <br />capital city  / metropolis "
"对","duì","right  / correct  / couple  / pair  / towards  / at  / for  / to face  / opposite  / to treat (sb a certain way)  / to match together  / to adjust  / to fit  / to suit  / to answer  / to reply  / classifier: couple "
"加拿大","",""
"加","Jiā<br />jiā","abbr. for Canada 加拿大 / surname Jia <br />to add  / plus  / (used after an adverb such as 不, 大, 稍 etc, and before a disyllabic verb, to indicate that the action of the verb is applied to sth or sb previously mentioned)  / to apply (restrictions etc) to (sb)  / to give (support, consideration etc) to (sth) "
"拿","ná<br />ná<br />ná","old variant of 拿 <br />variant of 拿 <br />to hold  / to seize  / to catch  / to apprehend  / to take  / (used in the same way as 把: to mark the following noun as a direct object) "
"大","dà<br />dài","big  / huge  / large  / major  / great  / wide  / deep  / older (than)  / oldest  / eldest  / greatly  / very much  / (dialect) father  / father's elder or younger brother <br />see 大夫 "
"忙","máng","busy  / hurriedly  / to hurry  / to rush "
"早上","",""
"早","zǎo","early  / morning  / Good morning!  / long ago  / prematurely "
"上","shǎng<br />shàng","see 上聲｜上声 <br />on top  / upon  / above  / upper  / previous  / first (of multiple parts)  / to climb  / to get onto  / to go up  / to attend (class or university) "
"怎么样","",""
"今天","",""
"怎","zěn","how "
"样","yàng","manner  / pattern  / way  / appearance  / shape  / classifier: kind, type "
"今","jīn","today  / modern  / present  / current  / this  / now "
"天","tiān","day  / sky  / heaven "
"家","jiā<br />Jiā<br />jiā","see 傢伙｜家伙 <br />surname Jia <br />home  / family  / (polite) my (sister, uncle etc)  / classifier for families or businesses  / refers to the philosophical schools of pre-Han China  / noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian  / CL: 個｜个"
"北京","",""
"在","zài","(located) at  / (to be) in  / to exist  / in the middle of doing sth  / (indicating an action in progress) "
"北","běi","north  / to be defeated (classical) "
"京","Jīng<br />jīng","abbr. for Beijing  / surname Jing  / Jing ethnic minority <br />capital city of a country  / big  / algebraic term for a large number (old)  / artificial mound (old) "
"哪儿","",""
"纽约","",""
"香港","",""
"儿","ér<br />r<br />ér<br />ér","child  / son <br />non-syllabic diminutive suffix  / retroflex final <br />nonsyllabic final r 儿 added to a word in spoken Chinese  / also called retroflex final or r-ization <br />retroflex final  / nonsyllabic final r 儿 added to a word in spoken Chinese "
"纽","niǔ","to turn  / to wrench  / button  / nu (Greek letter Νν) "
"约","yāo<br />yuē","to weigh in a balance or on a scale <br />to make an appointment  / to invite  / approximately  / pact  / treaty  / to economize  / to restrict  / to reduce (a fraction)  / concise "
"香","xiāng","fragrant  / sweet smelling  / aromatic  / savory or appetizing  / (to eat) with relish  / (of sleep) sound  / perfume or spice  / joss or incense stick  / CL: 根"
"港","Gǎng<br />gǎng","Hong Kong, abbr. for 香港 / surname Gang <br />harbor  / port  / CL: 個｜个"
"住","zhù","to live  / to dwell  / to stay  / to reside  / to stop  / (suffix indicating firmness, steadiness, or coming to a halt) "
"伦敦","",""
"台湾","",""
"伦","lún","human relationship  / order  / coherence "
"敦","dūn<br />dūn","variant of 敦 <br />kindhearted  / place name "
"台","Tái<br />tái<br />tái<br />Tái<br />tái<br />tái","Taiwan (abbr.)  / surname Tai <br />(classical) you (in letters)  / variant of 臺｜台 <br />desk  / table  / counter <br />Taiwan (abbr.) <br />platform  / stage  / terrace  / stand  / support  / station  / broadcasting station  / classifier for vehicles or machines <br />typhoon "
"湾","wān","bay  / gulf  / to cast anchor  / to moor (a boat) "
"谢谢","",""
"不客气","",""
"谢","Xiè<br />xiè","surname Xie <br />to thank  / to apologize  / to wither (of flowers, leaves etc)  / to decline "
"客","kè","customer  / visitor  / guest "
"气","qì<br />qì<br />qì<br />qì<br />qì<br />qì","gas  / air  / smell  / weather  / to make angry  / to annoy  / to get angry  / vital energy  / qi <br />to vaporize  / evaporation  / carburetion  / 氣｜气 transformation in TCM (i.e. transformation of yin yang vital breath)  / unvoicing of voiced consonant <br />deficiency of 氣｜气 (TCM) <br />stagnation of 氣｜气 (TCM) <br />reverse flow of 氣｜气 (TCM) <br />collapse of 氣｜气 (TCM) "
"对不起","",""
"没关系","",""
"起","qǐ","to rise  / to raise  / to get up  / to set out  / to start  / to appear  / to launch  / to initiate (action)  / to draft  / to establish  / to get (from a depot or counter)  / verb suffix, to start  / starting from (a time, place, price etc)  / classifier for occurrences or unpredictable events: case, instance  / classifier for groups: batch, group "
"没","méi<br />mò","(negative prefix for verbs)  / have not  / not <br />drowned  / to end  / to die  / to inundate "
"关","Guān<br />guān","surname Guan <br />mountain pass  / to close  / to shut  / to turn off  / to concern  / to involve "
"系","xì<br />xì<br />jì<br />xì","to connect  / to relate to  / to tie up  / to bind  / to be (literary) <br />system  / department  / faculty <br />to tie  / to fasten  / to button up <br />to connect  / to arrest  / to worry "
"爸爸","",""
"妈妈","",""
"爱","ài","to love  / to be fond of  / to like  / affection  / to be inclined (to do sth)  / to tend to (happen) "
"家人","",""
"爸","bà","father  / dad  / pa  / papa "
"妈","mā","ma  / mom  / mother "
"谁","shéi","who  / also pr. [shui2] "
"那","Nā<br />Nuó<br />nǎ<br />nà<br />nuó","surname Na <br />surname Nuo <br />variant of 哪 <br />that  / those  / then (in that case)  / commonly pr. [nei4] before a classifier, esp. in Beijing <br />(archaic) many  / beautiful  / how  / old variant of 挪 "
"个","gè<br />gè","individual  / this  / that  / size  / classifier for people or objects in general <br />variant of 個｜个 "
"这","zhè","this  / these  / (commonly pr. [zhei4] before a classifier, esp. in Beijing) "
"哥哥","",""
"姐姐","",""
"有","yǒu","to have  / there is  / there are  / to exist  / to be "
"哥","gē","elder brother "
"姐","jiě","older sister "
"弟弟","",""
"和","hé<br />Hé<br />hé<br />hè<br />hú<br />huó<br />huò<br />hé","old variant of 和 <br />surname He  / Japanese (food, clothes etc) <br />and  / together with  / with  / sum  / union  / peace  / harmony  / Taiwan pr. [han4] when it means ""and"" or ""with"" <br />to compose a poem in reply (to sb's poem) using the same rhyme sequence  / to join in the singing  / to chime in with others <br />to complete a set in mahjong or playing cards <br />to combine a powdery substance (flour, plaster etc) with water  / Taiwan pr. [huo4] <br />to mix (ingredients) together  / to blend  / classifier for rinses of clothes  / classifier for boilings of medicinal herbs <br />old variant of 和 / harmonious "
"妹妹","",""
"弟","dì<br />tì","younger brother  / junior male  / I (modest word in letter) <br />variant of 悌 "
"妹","mèi","younger sister "
"请问","",""
"知道","",""
"问","wèn","to ask "
"请","qǐng","to ask  / to invite  / please (do sth)  / to treat (to a meal etc)  / to request "
"知","zhī","to know  / to be aware "
"道","dào","road  / path  / CL: 條｜条, 股 / principle  / truth  / morality  / reason  / skill  / method  / Dao (of Daoism)  / to say  / to speak  / to talk  / classifier for long thin things (rivers, cracks etc), barriers (walls, doors etc), questions (in an exam etc), commands, courses in a meal, steps in a process  / (old) administrative division (similar to province in Tang times) "
"说","shuì<br />shuō","to persuade <br />to speak  / to say  / to explain  / to scold  / to tell off  / a theory (typically the last character in a compound, as in 日心說｜日心说 heliocentric theory) "
"英语","",""
"汉语","",""
"汉","Hàn<br />hàn","Han ethnic group  / Chinese (language)  / the Han dynasty (206 BC-220 AD) <br />man "
"语","yǔ<br />yù","dialect  / language  / speech <br />to tell to "
"帮助","",""
"次","cì","next in sequence  / second  / the second (day, time etc)  / secondary  / vice-  / sub-  / infra-  / inferior quality  / substandard  / order  / sequence  / hypo- (chemistry)  / classifier for enumerated events: time "
"帮","bāng<br />bāng<br />bāng","old variant of 幫｜帮 <br />old variant of 幫｜帮 <br />to help  / to assist  / to support  / for sb (i.e. as a help)  / hired (as worker)  / side (of pail, boat etc)  / outer layer  / upper (of a shoe)  / group  / gang  / clique  / party  / secret society "
"助","zhù","to help  / to assist "
"早安","",""
"晚安","",""
"一会儿","",""
"会","huì<br />kuài","can  / to be possible  / to be able to  / will  / to be likely to  / to be sure to  / to assemble  / to meet  / to gather  / to see  / union  / group  / association  / CL: 個｜个 / a moment (Taiwan pr. for this sense is [hui3]) <br />to balance an account  / accountancy  / accounting "
"安","Ān<br />ān","surname An <br />content  / calm  / still  / quiet  / safe  / secure  / in good health  / to find a place for  / to install  / to fix  / to fit  / to bring (a charge against sb)  / to pacify  / to harbor (good intentions)  / security  / safety  / peace  / ampere "
"最近","",""
"好久不见","",""
"不错","",""
"最","zuì<br />zuì<br />zuì","variant of 最 <br />old variant of 最 <br />most  / the most  / -est (superlative suffix) "
"近","jìn","near  / close to  / approximately "
"久","jiǔ","(long) time  / (long) duration of time "
"错","Cuò<br />cuò","surname Cuo <br />mistake  / wrong  / bad  / interlocking  / complex  / to grind  / to polish  / to alternate  / to stagger  / to miss  / to let slip  / to evade  / to inlay with gold or silver "
"要","yāo<br />yào","to demand  / to request  / to coerce <br />important  / vital  / to want  / to ask for  / will  / going to (as future auxiliary)  / may  / must  / (used in a comparison) must be  / probably  / if "
"热","rè","to warm up  / to heat up  / hot (of weather)  / heat  / fervent "
"冰","bīng<br />bīng","ice  / CL: 塊｜块 / to chill sth  / (of an object or substance) to feel cold  / (of a person) cold  / unfriendly  / (slang) methamphetamine <br />variant of 冰 "
"牛奶","",""
"咖啡","",""
"牛","Niú<br />niú","surname Niu <br />ox  / cow  / bull  / CL: 條｜条, 頭｜头 / (slang) awesome "
"奶","nǎi<br />nǎi<br />nǎi","breast  / milk  / to breastfeed <br />variant of 嬭｜奶 <br />mother  / variant of 奶 "
"咖","kā","coffee  / class  / grade "
"啡","fēi","(phonetic component) "
"洗手间","",""
"医院","",""
"洗","xǐ","to wash  / to bathe  / to develop (photo) "
"手","shǒu","hand  / (formal) to hold  / person engaged in certain types of work  / person skilled in certain types of work  / personal(ly)  / convenient  / classifier for skill  / CL: 雙｜双, 隻｜只"
"间","jiān<br />jiàn","between  / among  / within a definite time or space  / room  / section of a room or lateral space between two pairs of pillars  / classifier for rooms <br />gap  / to separate  / to thin out (seedlings)  / to sow discontent "
"院","yuàn","courtyard  / institution  / CL: 個｜个"
"这儿","",""
"那儿","",""
"饭馆","",""
"馆","guǎn<br />guǎn","variant of 館｜馆 <br />building  / shop  / term for certain service establishments  / embassy or consulate  / schoolroom (old)  / CL: 家"
"年","Nián<br />nián<br />nián","surname Nian <br />year  / CL: 個｜个<br />grain  / harvest (old)  / variant of 年 "
"月","yuè","moon  / month  / monthly  / CL: 個｜个, 輪｜轮"
"几","jī<br />jī<br />jǐ","small table <br />almost <br />how much  / how many  / several  / a few "
"〇","líng","zero "
"星期","",""
"明天","",""
"日","Rì<br />rì<br />rì","abbr. for 日本, Japan <br />sun  / day  / date, day of the month <br />(Sichuanese expletive) fuck me (日 here means 肏) "
"星","xīng","star  / heavenly body  / satellite  / small amount "
"期","qī<br />qī","variant of 期 / period  / cycle <br />a period of time  / phase  / stage  / classifier for issues of a periodical, courses of study  / time  / term  / period  / to hope  / Taiwan pr. [qi2] "
"点","diǎn<br />diǎnr","point  / dot  / drop  / speck  / o'clock  / point (in space or time)  / to draw a dot  / to check on a list  / to choose  / to order (food in a restaurant)  / to touch briefly  / to hint  / to light  / to ignite  / to pour a liquid drop by drop  / (old) one fifth of a two-hour watch 更 / dot stroke in Chinese characters  / classifier for items <br />erhua variant of 點｜点 "
"现在","",""
"半","bàn","half  / semi-  / incomplete  / (after a number) and a half "
"现","xiàn","to appear  / present  / now  / existing  / current "
"孩子","",""
"两","liǎng","two  / both  / some  / a few  / tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤 (old) "
"孩","hái","child "
"子","zǐ<br />zi","son  / child  / seed  / egg  / small thing  / 1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month (7th December to 5th January), year of the Rat  / Viscount, fourth of five orders of nobility 五等爵位 / ancient Chinese compass point: 0° (north) <br />(noun suffix) "
"女儿","",""
"儿子","",""
"岁","suì<br />suì","variant of 歲｜岁, year  / years old <br />classifier for years (of age)  / year  / year (of crop harvests) "
"女","nǚ<br />rǔ","female  / woman  / daughter <br />archaic variant of 汝 "
"妻子","",""
"丈夫","",""
"妻","qī<br />qì","wife <br />to marry off (a daughter) "
"丈","zhàng","measure of length, ten Chinese feet (3.3 m)  / to measure  / husband  / polite appellation for an older male "
"夫","fū<br />fú","husband  / man  / manual worker  / conscripted laborer (old) <br />(classical) this, that  / he, she, they  / (exclamatory final particle)  / (initial particle, introduces an opinion) "
"猫","māo","cat  / CL: 隻｜只 / (dialect) to hide oneself  / (coll.) modem "
"它","tā","it "
"狗","gǒu","dog  / CL: 隻｜只, 條｜条"
"喂","wéi<br />wèi<br />wèi<br />wèi","hello (when answering the phone) <br />hey  / to feed (an animal, baby, invalid etc) <br />variant of 餵｜喂 <br />to feed "
"慢","màn","slow "
"一点儿","",""
"快","kuài","rapid  / quick  / speed  / rate  / soon  / almost  / to make haste  / clever  / sharp (of knives or wits)  / forthright  / plainspoken  / gratified  / pleased  / pleasant "
"得","dé<br />de<br />děi","to obtain  / to get  / to gain  / to catch (a disease)  / proper  / suitable  / proud  / contented  / to allow  / to permit  / ready  / finished <br />structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc <br />to have to  / must  / ought to  / to need to "
"明白","",""
"白","Bái<br />bái","surname Bai <br />white  / snowy  / pure  / bright  / empty  / blank  / plain  / clear  / to make clear  / in vain  / gratuitous  / free of charge  / reactionary  / anti-communist  / funeral  / to stare coldly  / to write wrong character  / to state  / to explain  / vernacular  / spoken lines in opera "
"漂亮","",""
"漂","piāo<br />piǎo<br />piào","to float  / to drift <br />to bleach <br />elegant  / polished "
"亮","liàng","bright  / clear  / resonant  / to shine  / to show  / to reveal "
"朋友","",""
"男","nán","male  / Baron, lowest of five orders of nobility 五等爵位 / CL: 個｜个"
"矮","ǎi","low  / short (in length) "
"朋","péng","friend "
"友","yǒu","friend "
"可爱","",""
"非常","",""
"可","kě<br />kè","can  / may  / able to  / to approve  / to permit  / to suit  / (particle used for emphasis) certainly  / very <br />see 可汗 "
"非","Fēi<br />fēi","abbr. for 非洲, Africa <br />to not be  / not  / wrong  / incorrect  / non-  / un-  / in-  / to reproach or blame  / (colloquial) to insist on  / simply must "
"常","Cháng<br />cháng","surname Chang <br />always  / ever  / often  / frequently  / common  / general  / constant "
"上午","",""
"分","fēn<br />fèn","to divide  / to separate  / to distribute  / to allocate  / to distinguish (good and bad)  / part or subdivision  / fraction  / one tenth (of certain units)  / unit of length equivalent to 0.33 cm  / minute (unit of time)  / minute (angular measurement unit)  / a point (in sports or games)  / 0.01 yuan (unit of money) <br />part  / share  / ingredient  / component "
"下午","",""
"晚上","",""
"午","wǔ","7th earthly branch: 11 a.m.-1 p.m., noon, 5th solar month (6th June-6th July), year of the Horse  / ancient Chinese compass point: 180° (south) "
"晚","wǎn","evening  / night  / late "
"下","xià","down  / downwards  / below  / lower  / later  / next (week etc)  / second (of two parts)  / to decline  / to go down  / to arrive at (a decision, conclusion etc)  / measure word to show the frequency of an action "
"每","měi","each  / every "
"中午","",""
"周末","",""
"周","Zhōu<br />zhōu<br />zhōu","surname Zhou  / Zhou Dynasty (1046-256 BC) <br />to make a circuit  / to circle  / circle  / circumference  / lap  / cycle  / complete  / all  / all over  / thorough  / to help financially <br />week  / weekly  / variant of 周 "
"末","mò","tip  / end  / final stage  / latter part  / inessential detail  / powder  / dust  / opera role of old man "
"昨天","",""
"了","le<br />liǎo<br />liǎo<br />liào","(modal particle intensifying preceding clause)  / (completed action marker) <br />to finish  / to achieve  / variant of 瞭｜了 / to understand clearly <br />(of eyes) bright  / clear-sighted  / to understand clearly <br />unofficial variant of 瞭 "
"做","zuò","to do  / to make  / to produce  / to write  / to compose  / to act as  / to engage in  / to hold (a party)  / to be  / to become  / to function (in some capacity)  / to serve as  / to be used for  / to form (a bond or relationship)  / to pretend  / to feign  / to act a part  / to put on appearance "
"昨","zuó","yesterday "
"今年","",""
"去年","",""
"明年","",""
"去","qù","to go  / to go to (a place)  / (of a time etc) last  / just passed  / to send  / to remove  / to get rid of  / to reduce  / to be apart from in space or time  / to die (euphemism)  / to play (a part)  / (when used either before or after a verb) to go in order to do sth  / (after a verb of motion indicates movement away from the speaker)  / (used after certain verbs to indicate detachment or separation) "
"旁边","",""
"左边","",""
"右边","",""
"旁","páng","beside  / one side  / other  / side  / self  / the right-hand side of split Chinese character, often the phonetic "
"左","Zuǒ<br />zuǒ<br />zuǒ","surname Zuo <br />left  / the Left (politics)  / east  / unorthodox  / queer  / wrong  / differing  / opposite  / variant of 佐 <br />""top of 左 character"" component in Chinese characters "
"右","yòu","right (-hand)  / the Right (politics)  / west (old) "
"边","biān<br />bian<br />biānr","side  / edge  / margin  / border  / boundary  / CL: 個｜个 / simultaneously <br />suffix of a noun of locality <br />side  / edge  / margin  / border  / boundary  / proximity  / thread (of ideas, plots etc)  / see also 邊｜边 "
"前面","",""
"后面","",""
"学校","",""
"前","qián","front  / forward  / ahead  / first  / top (followed by a number)  / future  / ago  / before  / BC (e.g. 前293年)  / former  / formerly "
"后","Hòu<br />hòu<br />hòu","surname Hou <br />empress  / queen <br />back  / behind  / rear  / afterwards  / after  / later "
"校","jiào<br />xiào","to proofread  / to check  / to compare <br />school  / military officer  / CL: 所"
"走","zǒu","to walk  / to go  / to run  / to move (of vehicle)  / to visit  / to leave  / to go away  / to die (euph.)  / from  / through  / away (in compound verbs, such as 撤走)  / to change (shape, form, meaning) "
"到","dào","to (a place)  / until (a time)  / up to  / to go  / to arrive  / (verb complement denoting completion or result of an action) "
"路","Lù<br />lù","surname Lu <br />road  / CL: 條｜条 / journey  / route  / line (bus etc)  / sort  / kind "
"怎么","",""
"哪里","",""
"这里","",""
"那里","",""
"往","wǎng<br />wǎng","to go (in a direction)  / to  / towards  / (of a train) bound for  / past  / previous <br />old variant of 往 "
"里","lǐ<br />lǐ<br />Lǐ<br />lǐ<br />lǐ","variant of 裡｜里 <br />lining  / interior  / inside  / internal  / also written 裏｜里 <br />Li (surname) <br />li, ancient measure of length, approx. 500 m  / neighborhood  / ancient administrative unit of 25 families  / (Tw) borough, administrative unit between the township 鎮｜镇 and neighborhood 鄰｜邻 levels <br />agreement between the residents of a 里, an administrative district under a city or town (Taiwan) "
"喜欢","",""
"看","kān<br />kàn","to look after  / to take care of  / to watch  / to guard <br />to see  / to look at  / to read  / to watch  / to visit  / to call on  / to consider  / to regard as  / to look after  / to treat (an illness)  / to depend on  / to feel (that)  / (after verb) to give it a try  / Watch out! (for a danger) "
"书","Shū<br />shū<br />Shū","abbr. for 書經｜书经 <br />book  / letter  / document  / CL: 本, 冊｜册, 部 / to write <br />the Book of History, one of the Five Classics of Confucianism 五經｜五经, a compendium of documents which make up the oldest extant texts of Chinese history, from legendary times down to the time of Confucius, also known as 尚書經｜尚书经, 尚書｜尚书, 書｜书 "
"喜","xǐ","to be fond of  / to like  / to enjoy  / to be happy  / to feel pleased  / happiness  / delight  / glad "
"欢","huān<br />huān<br />huān<br />huān","variant of 歡｜欢 <br />joyous  / happy  / pleased <br />hubbub  / clamor  / variant of 歡｜欢 <br />a breed of horse  / variant of 歡｜欢 "
"玩","wán<br />wán","to play  / to have fun  / to trifle with  / toy  / sth used for amusement  / curio or antique (Taiwan pr. [wan4])  / to keep sth for entertainment <br />variant of 玩 / Taiwan pr. [wan4] "
"电脑","",""
"游戏","",""
